id,name,code,image_path,country_id,national_team,updated_at
1,Pakistan,PAK,https://cdn.sportmonks.com/images/cricket/teams/1/1.png,190324,TRUE,2018-11-29T11:47:20.000000Z
10,India,IND,https://cdn.sportmonks.com/images/cricket/teams/10/10.png,190324,TRUE,2018-11-29T11:47:20.000000Z
36,Australia,AUS,https://cdn.sportmonks.com/images/cricket/teams/4/36.png,190324,TRUE,2018-11-29T11:47:20.000000Z
37,Bangladesh,BGD,https://cdn.sportmonks.com/images/cricket/teams/5/37.png,190324,TRUE,2018-11-29T11:47:20.000000Z
38,England,ENG,https://cdn.sportmonks.com/images/cricket/teams/6/38.png,190324,TRUE,2019-01-29T11:07:04.000000Z
39,Sri Lanka,LKA,https://cdn.sportmonks.com/images/cricket/teams/7/39.png,190324,TRUE,2019-08-31T12:20:09.000000Z
40,South Africa,ZAF,https://cdn.sportmonks.com/images/cricket/teams/8/40.png,190324,TRUE,2019-08-31T12:31:16.000000Z
41,Zimbabwe,ZIM,https://cdn.sportmonks.com/images/cricket/teams/9/41.png,190324,TRUE,2019-06-17T14:45:03.000000Z
42,New Zealand,NZL,https://cdn.sportmonks.com/images/cricket/teams/10/42.png,190324,TRUE,2019-08-31T12:32:06.000000Z
43,West Indies,WI,https://cdn.sportmonks.com/images/cricket/teams/11/43.png,190324,TRUE,2018-11-29T11:47:20.000000Z
44,Scotland,SCO,https://cdn.sportmonks.com/images/cricket/teams/12/44.png,190324,TRUE,2019-02-13T16:25:03.000000Z
45,United Arab Emirates,UAE,https://cdn.sportmonks.com/images/cricket/teams/13/45.png,190324,TRUE,2019-10-28T18:35:02.000000Z
46,Afghanistan,AFG,https://cdn.sportmonks.com/images/cricket/teams/14/46.png,190324,TRUE,2019-02-19T06:30:02.000000Z
47,Adelaide Strikers,AS,https://cdn.sportmonks.com/images/cricket/teams/15/47.png,98,FALSE,2019-12-19T12:26:02.000000Z
48,Brisbane Heat,BH,https://cdn.sportmonks.com/images/cricket/teams/16/48.png,98,FALSE,2019-12-09T06:45:02.000000Z
49,Hobart Hurricanes,HH,https://cdn.sportmonks.com/images/cricket/teams/17/49.png,98,FALSE,2018-11-29T11:47:20.000000Z
50,Melbourne Renegades,MR,https://cdn.sportmonks.com/images/cricket/teams/18/50.png,98,FALSE,2018-11-29T11:47:20.000000Z
51,Melbourne Stars,MLS,https://cdn.sportmonks.com/images/cricket/teams/19/51.png,98,FALSE,2022-12-13T10:41:00.000000Z
52,Perth Scorchers,PS,https://cdn.sportmonks.com/images/cricket/teams/20/52.png,98,FALSE,2018-11-29T11:47:20.000000Z
53,Sydney Sixers,SS,https://cdn.sportmonks.com/images/cricket/teams/21/53.png,98,FALSE,2018-11-29T11:47:20.000000Z
